 

stn;time;tre200s0;rre150g0;uor200s0;ure200s0;fu3010z0
GRE;202204220010;8.9;0.0;63.1;63.1;11.9
GRE;202204220020;8.0;0.0;67.3;67.3;9.0
GRE;202204220030;7.5;0.0;69.1;69.1;8.6
GRE;202204220040;7.2;0.0;69.8;69.8;9.0
GRE;202204220050;6.5;0.0;72.8;72.8;10.4
GRE;202204220100;6.8;0.0;73.2;73.2;11.5
GRE;202204220110;6.2;0.0;75.4;75.4;13.7
GRE;202204220120;6.3;0.0;75.5;75.5;12.6
GRE;202204220130;6.2;0.0;75.0;75.0;10.1
GRE;202204220140;6.9;0.0;71.8;71.8;9.4
GRE;202204220150;6.3;0.0;73.0;73.0;8.6
GRE;202204220200;6.6;0.0;71.6;71.6;6.8
GRE;202204220210;6.4;0.0;71.6;71.6;7.2
GRE;202204220220;5.9;0.0;73.1;73.1;6.8
GRE;202204220230;5.5;0.0;74.6;74.6;6.8
GRE;202204220240;5.9;0.0;74.8;74.8;7.2
GRE;202204220250;5.6;0.0;74.6;74.6;7.2
GRE;202204220300;5.3;0.0;75.8;75.8;7.9
GRE;202204220310;5.1;0.0;76.0;76.0;8.6
GRE;202204220320;4.0;0.0;82.8;82.8;6.5
GRE;202204220330;5.0;0.0;78.9;78.9;9.0
GRE;202204220340;4.2;0.0;81.4;81.4;8.3
GRE;202204220350;4.3;0.0;84.1;84.1;5.0
GRE;202204220400;4.8;0.0;81.7;81.7;4.7
GRE;202204220410;4.6;0.0;80.7;80.7;2.9
GRE;202204220420;3.8;0.0;83.2;83.2;4.3
GRE;202204220430;4.2;0.0;81.8;81.8;6.1
GRE;202204220440;3.2;0.0;85.0;85.0;5.4
GRE;202204220450;2.8;0.0;88.6;88.6;5.4
GRE;202204220500;3.3;0.0;88.4;88.4;4.7
GRE;202204220510;2.7;0.0;88.6;88.6;4.0
GRE;202204220520;3.1;0.0;89.0;89.0;3.6
GRE;202204220530;3.8;0.0;86.3;86.3;8.6
GRE;202204220540;5.4;0.0;82.1;82.1;10.1
GRE;202204220550;5.7;0.0;81.8;81.8;8.3
GRE;202204220600;5.4;0.0;84.1;84.1;5.8
GRE;202204220610;6.5;0.0;80.9;80.9;7.9
GRE;202204220620;7.0;0.0;78.2;78.2;8.6
GRE;202204220630;7.3;0.0;76.5;76.5;10.4
GRE;202204220640;7.7;0.0;74.8;74.8;12.6
GRE;202204220650;8.0;0.0;73.0;73.0;12.6
GRE;202204220700;8.3;0.0;72.5;72.5;14.4
GRE;202204220710;8.5;0.0;70.6;70.6;13.0
